BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
glycine,"Glycine, Serine and Threonine Metabolism",157426624,136353200,184017952,156243552,146333840,189559488,227295696,162591136,83175744,164538336,163642640,179784784,133466568,173282304,163208256,160182224,138135232,131463936,137371856,284293984,137451488,194067504,181018112,157952928,184509408,161448576,159059264,178340768,132927280,107610096,156424944,113636256,167843088,137441536,206462608,137986048,167106672,172199264,163468736,258214096,204762736,265211696,194394752,200309216,175482256,154816816,134354400,143661136,119728600,74633984,202600528,164229920,186361264,172355136,171487552,165955280
N-acetylglycine,"Glycine, Serine and Threonine Metabolism",541680,787402,1028813,1081329,876746,1820152.88,776833,988777.06,563642,959793,485764,558165,439647,1079647,929491.06,736375,342931,983173,458868,688487,4820405,559796,1194958,754506,694306,2471424,1767412,475073,385528,2332863,740479,824586,624002,695943,556230,530641,2334949,476504,5058227,841294.06,1831670,735218,1660120,894025.94,1358964,332086,478880,834182.94,707623,454450.97,825159,1191554,451512,566948,869780,511492
sarcosine,"Glycine, Serine and Threonine Metabolism",52171488,46425820,43966160,5381919,27678768,52351192,43436188,42633384,31511644,31316082,44452680,49286340,38473256,35791724,43691488,45605120,33715576,42438308,45034048,42648064,4589223,4426613,7123448,6873672,4998091,36763480,6396888.5,6334396,43850748,38331232,47680792,33696932,4075057.75,6171621.5,4902457,43390920,5904086,5710609,35854920,41552264,42687704,41828660,42925008,42847836,45178336,42291352,42240264,32953168,42423928,24012470,46323244,34606724,37462888,41203464,39443952,37517568
dimethylglycine,"Glycine, Serine and Threonine Metabolism",38372116,37702232,26761364,25896456,31781058,40948420,32341444,41216120,39176992,30676416,39668816,41465976,34598648,27734656,71857040,23322436,17334332,47133928,40176624,24436080,25277556,28868504,29480406,30240444,23409468,29206932,87486032,45280148,29207996,65254536,35196720,19651236,20099960,20072892,33529490,36575408,29416380,43717976,18321798,31229806,29007594,30835314,30182312,32137172,141706768,30818860,20312036,40015856,34144872,20868168,26856804,20066060,23074288,31101390,22657320,33370814
betaine,"Glycine, Serine and Threonine Metabolism",617428864,799328448,691110848,651006912,558096576,662381248,609615168,611406464,429311776,826064768,663158976,657334848,650629632,532258688,687404800,559145664,547298560,620021184,687730112,619940544,567627456,729580224,541750528,592675520,485760608,773675456,522553696,842158976,612394432,499038528,814759104,496802976,546040896,459675712,643173504,570760576,591140032,620770176,529879744,750136384,547453120,776597056,546670784,733622080,606434112,806514560,501278944,594616512,541326528,363461056,581229696,443174080,621557824,703296768,471956896,701320448
serine,"Glycine, Serine and Threonine Metabolism",152983168,175237872,138220928,101709856,120632208,195152160,140483712,143189760,104560808,142990304,203858832,171640880,154881088,148646240,152991632,131517784,123752264,146284656,124042928,208597712,156039456,186052432,161814944,170216960,169794560,157776000,198782464,164979184,160208256,127221520,158027088,95422648,126600392,164993488,168353408,179509376,201346448,164000912,146353328,214724992,163851584,229529840,181051392,138014896,223611552,143683200,155556192,121362080,144844752,75111464,144228672,169230992,146650016,172145248,154044864,131412936
threonine,"Glycine, Serine and Threonine Metabolism",521483584,409622944,365579616,570262528,543426624,644414528,350479264,343578016,248811168,307569600,532453920,460657536,431896192,409228224,440244640,407239744,347183264,278299968,355617856,495015232,227817056,364023296,419347712,298543168,373360384,365505888,276476064,468492096,427902400,228896336,295302528,349875712,351597856,343661952,562173376,492433216,430539200,429671072,319027232,353606144,471629440,407263744,453365600,353447360,417944352,417111520,403463232,305867616,357686144,220571504,414623744,305897216,473190752,476556640,449512608,475980832
2-methylserine,"Glycine, Serine and Threonine Metabolism",25100820,30222472,26670268,3417291,17996146,27885360,16404318,19697924,16262671,15494428,20065318,24004678,24246544,12683413,20207868,20510190,14661880,15190175,16731283,16865944,3106955,3071333,2934144,2534186,4079320,19542874,3578734,13257871,25993268,22110284,23134016,21845784,4337050,3258433,4970775,19353840,9923867,6385186,15132006,17027788,16210764,20559208,12943467,12196079,16356072,17346852,18742792,14936826,17430088,13803761,16394639,20059792,19526768,16618326,23949036,20040944
alanine,Alanine and Aspartate Metabolism,937152960,452498880,481672576,442061024,636486912,572465536,381746272,389863520,359884352,372598656,481654624,482709536,537477248,438892864,448921792,456968992,415628256,419638528,482064416,669623232,368566560,624691328,643523648,356303968,519665280,475870784,501738432,742877184,674583232,355146144,462778272,557747264,634271168,532912096,652802752,578789120,350587040,558647040,374559840,715964288,588001024,653311552,396167776,814647296,380896928,496863104,675515584,432264544,414640320,395553888,736449920,481660480,597584256,680949056,455925664,644851008
N-acetylalanine,Alanine and Aspartate Metabolism,1118932,1083034,1209571,1195114,1113879,1267108,873616,964068,683858,773596,1400627,1052961,1015855.06,1174198,1151505,916212,723774,1185215,855647,875836,909108,1164490,820120,1140179,932980,973381,1090960,1090225,750579,1001247,1099961,1088926,829965,743980,852754,1015739,826454,1115372,1012056,1112094,899235,1019625,1073336,1272235,870767,880070,926886,776750,1036939.06,696563,996779,735907,1158140,1074836,1282030,905182
