BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
glycine,"Glycine, Serine and Threonine Metabolism",55277092,39257780,38540984,14142913,19949016,23469500,32175124,66686500,28824660,52930488,17373024,38968348,22808216,39564720,39293164,48456328,45034012,14321167,40287544,31646788,72980240,22668304,108132344,32517592,25529604,10530306,34483380,28504016,33785528,35069680,35763192,68317072,20288454,48140904,20156472,39421992,20978102,33384772,35537140,7283080,45629624,43233868,23305652,41737896,73088192,60516352,32308348,22549550,20012466,28017396,42854072,36996220,21098664,45722412,41938408,35547664
N-acetylglycine,"Glycine, Serine and Threonine Metabolism",403436,490384,717540,,369002,563292,745663,1037488.938,525967,371571,622423,448928,204480,737672,925033,666727,681063,400217,903026,387858,695081,,2152552,437597,,436905,149247,17758932,490790,388287,1097320,655164,300653,1096826,268094,688396,216908,478409,677769,288105,1945390,873191,696370,1209750,1020049,1597984,303214,326109,364054,187433,461426,456715,393776,1184381,325947,651411
sarcosine,"Glycine, Serine and Threonine Metabolism",1847928.125,,,,,,772903,,,1016844.063,,,,,,,675939,74290,,,1166207,,717483,,,,3000534,2952206,1268418,380407,,,,668189,,648019,,592620,1537730,,2607591,,1338119,,5542007,2943532,,,,909416,,4097210,267735,763963,,
dimethylglycine,"Glycine, Serine and Threonine Metabolism",942251,1257825.875,655852,1095417,842565,1248863,1534139,942768,2174505,954031,1517783,456158,913970,1277315,7672220,1117845,1406740,1235366,1014470,1079260,1959388.875,1004269,788519,2083936,913661,1872735,3202589,5536423,1065283,1316988,985313,1582563,924827,653429,1475125,1076471,454492,1546588,1410519.875,920447,1259244,1905699,1281626,1252589.125,3203573,1111584,601917,915156,1033041,917344,942867,2045686,1094558,1106787,456303,1391660
betaine,"Glycine, Serine and Threonine Metabolism",6137286,2472321,2982335,1467708,1351008,1661295,6120362,3460704,4373770,3724121,,3810993,2214943,2253208,4100360,,6570478,8010537,2161405,3514653,4346899,3711769,3024258,2272895,3023192,3293873,4910600,16995182,4645337,2506510,7544237,6623948,3634873,3386479,3636806,3989237,8941802,4440360,3452257,3805020,12279289,3781380,5028300,3134518,21257744,12031642,,2465373,3439716,4237258,1872836,11701973,2728247,3535185,3574509,1005673
serine,"Glycine, Serine and Threonine Metabolism",133696976,78907536,82410280,39107832,43697840,59350640,48794076,123980720,80696984,126975968,42993136,75653800,52249356,62845464,60879856,85522312,111474064,37908300,67101356,81227080,140122544,66772628,168078848,74232384,68651984,28668060,83850056,74627112,74366504,58867328,75668856,128039664,55732708,91556664,50530848,65348520,57209884,72312344,71885888,23826942,86521496,65076588,47315472,70100816,74031672,117918184,70723080,51120612,46410024,82355232,77944000,77370544,40611988,76077112,82311528,74917888
N-acetylserine,"Glycine, Serine and Threonine Metabolism",2344198,4464847,2015015,626479,410849,3563323,2245812,1844810,1639347,1310702,3653406,1983367,1038942,3519800,2301204,2113396,981419,2451820,1499352,1386092,4677858,642465,4309055,1322908,944356,584076,1109255,32338902,927680,1374033,2023590,2293772,1806404,2717526,661405,1742477,766328,1131283,1614861,1857418,3685499,2303220,997279,2149752,2853935,4703890,1321507,2200183,932496,4040074,2040818,3533950,1214266,3372548,3562482,1848666
threonine,"Glycine, Serine and Threonine Metabolism",298857952,223305504,232332160,100956016,138363568,159015216,160699888,357184032,193748560,274568896,100489208,209255664,153572416,183279408,201603072,212460016,302923776,89896488,225128896,237253264,339859648,164965824,480171584,232717632,185926432,79680272,229604432,215078288,208707904,183077312,173520688,365504992,137773632,242040528,141698240,192760992,134312496,225146784,191076208,59667144,291136160,187311984,173050432,192479872,182765856,354526272,208573184,138798528,124132232,230317216,208179488,210797984,109458768,215946064,245476992,234803856
N-acetylthreonine,"Glycine, Serine and Threonine Metabolism",,573426,626268,99243,,,965576,218159.0156,,,707896,694423,371216,880514,509446,342662,,840188.9375,249646.0156,320064,899602,,1714745.875,213677.0156,,111335.0078,275624,3132459,,387720,328013,,807839,,541451,372804,,323361,395555,,1028285,187407,357476,305359,891673.9375,2640130,,360040,385323,,270749,670123,443541.0313,1101686,,
2-methylserine,"Glycine, Serine and Threonine Metabolism",822493,933913,1025642,218999,610568,793457,801842.0625,940028.9375,762635,488802,1545268,1437854.875,537109,901345,472992,1018785,547054,2347454,1666527,568250,480709,284869,739454,443482,935043,822300,745135,1479379,689432,1056791,1495447.875,628532,580866,805060,426138,324497,474417,280883,537550,218250.0156,1824211,386436.9688,1061446,374252.0313,374298,1107587,464894,690126,564464,251242,583668,788921,415866.9688,902980.9375,1072823,654788.9375
