	shannon_entropy
10532.08fb8b2c.2152.4c58.b04c.ce6e1502b9c4	6.066118561289851
10532.104e5902.1c3e.417f.bb22.124bfca61a61	5.044239252473916
10532.11f3f37a.3698.4031.8183.75f6f2c6c04c	5.927231016730259
10532.44bf8cf8.5259.48a2.986b.ce26356a1995	5.213637013748043
10532.568030a5.4888.49d7.9b73.aa36e2a2010f	4.192049604597132
10532.884e1ddb.8d8b.45cf.8dba.16387520872c	3.182205843470349
10532.8d972760.88c4.49f9.8712.a919bb215db5	4.55994621204311
10532.9b3e87a6.3041.4d90.be02.332c1b097988	5.420762112414573
10532.a4fc33a8.d190.4626.80dd.ee1b58cdca73	4.3443119203727605
10532.b75f1faa.7d0e.4f5c.bbbb.43c9eee3ca80	6.3811587549361555
10532.c61b44a5.ae92.4202.9d0c.b4507197e456	4.26825241012946
10532.e7a2370c.f80c.4703.b2ee.10c65967e05f	2.513119695132193
10532.e9e2e4d7.8a4d.4e5d.bb37.75c9466cc3a5	5.0162774910181955
10532.00954e18.1dcf.40fc.a52e.255f5cda6f9c	5.315351107836915
10532.0476f5aa.a4f4.4835.ada1.4e72fb601e0a	5.7939212985036415
10532.049a1207.554b.43e8.9548.1b0fb0f8cd2b	1.1249155091078293
10532.04ea008a.d444.4833.988c.a2a3f5d4ad23	5.837366618814134
10532.06104fa3.3f90.4a7a.944c.511c32501925	5.557155044630852
10532.08ea0c6b.7a30.4074.bbf6.557480fc5285	5.313103047955923
10532.097aca46.4d88.4858.9076.a82c0ce1d29b	5.365288091515867
10532.0c792e0e.c9e4.4789.a129.9263c4d80ab5	2.4861888202649567
10532.0dc46d75.4646.4d47.ab42.cc127481ec0e	4.578131788483707
10532.0eb12bd1.4548.4004.8dcd.1a71de8b1df5	4.915367922747917
10532.1037164d.a836.4ebe.bf98.92294a0b60ab	3.179445433668075
10532.10d8aff9.6fa1.4788.ac34.075f71d7e3c6	5.596606863979217
10532.1179fc32.1721.4500.9ebb.2711571cec96	4.669725706857854
10532.11d9c298.6eab.4b6b.9665.1dba120f03b2	5.553110781386909
10532.1230c3fd.efa4.4ad9.8f01.499141965b11	5.201399211370315
10532.14c94c5e.aaf2.414f.a72f.74ccc134b294	5.114652913424582
10532.1527a35e.aff8.4404.a7b5.93297cc857bb	4.747720491743744
10532.1654ccec.557a.40f3.b4d9.b263f9e2ad4e	5.2774888507195294
10532.1709339c.5162.4847.bab8.d492c164537a	4.901859083802328
10532.18b7bc36.8427.431c.a28c.9a4d0b19f83d	4.226402193423996
10532.18f853f2.0e63.400e.baac.cad966c6c0a0	4.819199291326555
10532.1a3cebf2.a600.4fdd.901f.739e27cb4a6c	6.341030081885868
10532.1a809fb5.eac0.4b28.bdf5.e731c86aefbd	3.248315138783499
10532.1b1720db.15b5.479e.9641.ecf97ed72ca4	4.983217303964045
10532.1c4ca381.9cc3.4313.a11e.df350bb73ec9	5.1270910636089555
10532.1d3c1d57.9c6a.40a4.a6a3.b0cc321e354f	3.2712655626004308
10532.1fe19636.3708.4a87.8e5a.cf10d8530d4e	5.451473375841626
10532.215cb690.74cc.469d.b692.681e0cf530e5	4.845688451307919
10532.2204f8a2.6d8f.4096.9407.077cad04f686	3.557261207513517
10532.230994e3.5682.432f.b4e4.454ca1901e0f	5.070978460101449
10532.28028688.f349.49ed.a093.c24ab3e69eff	3.0543506769731903
10532.28e84479.bd9f.4d55.bb03.1411b71bdc9b	5.24888013688994
10532.2adb40fd.6824.44f2.b71f.dc73c9f82b16	3.242910198443183
10532.2dfedd8c.5fcf.445f.88b5.9b2ec7e96aec	5.230130662095537
10532.2f79545d.8a5d.4fc5.a0ac.5da133096ee3	3.0094584558487707
10532.30bb9d5a.9305.4bd8.b193.2b0bff0f3e42	5.966028628305268
10532.33823320.f971.44d2.b8d4.97aa953ed8c6	3.7314343290817735
10532.35a3fb02.a90d.4977.b69e.7fe338ad120d	5.3831429182737995
10532.36ab5525.4f00.4559.a4b0.5f08454440bb	3.523890517518018
10532.38cc97e0.b049.40ad.9115.572a0f1fa54b	5.59594484596579
10532.3a7587ba.1767.4f82.8a29.fb87623459a0	5.561153231666959
10532.3aef91f5.b123.4c88.b8f3.527c7b062691	5.2781209018262105
10532.3b2b88b4.90b1.44d2.a015.e80e723e996f	5.733811468206236
10532.3b443a43.f0cd.4c13.b7ba.256065073f88	4.055306394331549
10532.3cce5506.b222.46b9.8ef3.3f15ddfc8554	2.7813475353884227
10532.3f86a9aa.e576.4a0e.b946.069435b47735	4.982623468407196
10532.40a120a1.f11e.4bb9.a831.4c7a165eb48e	2.957256895680861
10532.4438f148.fff6.4be1.9837.b8cd5c473d5a	4.028698467880276
10532.446c844e.eb73.4ce2.8057.7203b7d8290f	3.9696078785033744
10532.46d62998.b580.4434.859c.b82a71ba8b13	4.784028591099749
10532.47851ff0.b155.4d9e.8d14.37671f756a98	5.553844528267838
10532.4985e68e.e764.43e4.ba6d.c9135cb59802	6.105149241278508
10532.4aff6dc8.d08b.43ce.ae37.7c99c5841e5c	5.471515371832794
10532.4ef235d7.1c66.456b.bf58.c69c6a71d97b	6.068104526214251
10532.4f2698fd.665f.4ed1.be97.ffc1529e21b0	4.7927838807343255
10532.50fedde6.6336.4d10.ae45.64645f1dc452	5.597452618272862
10532.51fa2739.c9f3.4f97.8142.793a058cca9c	4.138391561873394
10532.5423daa2.53d4.464a.985d.214b4724f340	4.947981102354871
10532.55f3cf16.37df.408f.aec2.cdcec8be9a06	5.811090996640434
10532.55f8d345.8251.43a1.ab05.c9418f6fefd7	3.0395094999991246
10532.5802a92b.5471.435b.bca9.b03e1cef9a14	4.863466221229153
10532.58963b05.b9fe.4a36.98e7.f3497c390919	4.2597769727459625
10532.593b1c57.09b3.43f2.97b1.7051761e13c9	5.165448298409222
10532.5a8541e7.b0a2.48c0.8fa1.4cba3f011111	2.4882931987639845
10532.5c7870bf.66e4.4024.861e.a586fe550a17	4.738092989745326
10532.5e6d005d.2705.4981.804e.8b218288605f	5.268135071832381
10532.5f291738.ae0e.4805.a842.cd2bb5b50f26	3.7991591222272447
10532.609c89d3.6145.4af8.af53.92591d65b765	3.8252612179636274
10532.60f2a3c7.0071.438e.9615.db72ab157a65	4.4822058931292545
10532.62deb178.a741.4def.afbf.e0a77659194d	4.116324480366826
10532.63200094.189d.4880.beaf.0a041635cab7	5.368400304157831
10532.632924ab.bf85.4b8b.b603.f338294a0d9d	4.079692401409946
10532.65fcbe4f.1f77.4216.95c1.9991e5f2499a	3.621882321236948
10532.6618c914.037e.4c9b.b2c4.18d98a529b85	4.91381872613643
10532.66c64e22.7b83.4740.bf41.aa1553f24091	5.379889872186314
10532.67c048b1.3037.4c73.9380.32c657119b7b	3.563994790032837
10532.69d85346.ed6d.49d0.93cf.fcb494bddb83	1.9064996215108232
10532.6e911df2.b54d.44a2.8fb8.1b6c1b9c3362	4.911628752307384
10532.702e5557.ca8d.420d.a802.11257794814d	5.182389843557437
10532.709ae56e.5c79.4e56.b054.5bb1522e6a48	5.259010804959045
10532.72c5d05e.1244.452a.89dc.a1a47acc2483	4.726043863607379
10532.752f32b0.f570.4ccc.9028.fc536a323b98	5.295117921915152
10532.75e9a7e3.f4ae.4643.9d94.d45401ce47eb	0.313773339391652
10532.76295cb2.371f.4a12.824e.7f7209740b44	5.597312578122455
10532.77fc3945.be1b.497d.8d77.a15554f078f2	4.628867192958273
10532.78140709.84c3.437f.a130.795e7391da34	5.249422354290042
10532.7af6e763.ab6a.49e9.ac6d.5da1c74c54bd	4.632870686657922
10532.7bb97977.f259.42e4.96c0.defb321a35f6	5.340814225230438
10532.7c6a5ce6.5bc1.41f8.b082.9d812dcb87d3	3.5990806092066054
10532.7d75b189.d50c.42f3.837c.5c10af4e87ba	4.338439632933107
10532.7dde8baf.6642.4796.8a04.d9b398a674b2	6.678189244435457
10532.7f07b1a5.8b6f.4f33.af95.b41bf6bad858	5.193495301919625
10532.806de48e.590a.41d2.8e3a.56b4e5f63dc5	5.750609280237554
10532.8109a7fc.1e1e.4006.ae0b.93def8de40c3	4.1170583652664865
10532.81a16ca3.6299.40f0.ae7b.fe2dd2ac4243	4.28564567386356
10532.832ba500.7ff2.4c91.ac33.76a3aca26460	5.064988583655948
10532.84120710.dd14.4def.90b4.c34cbcedd38e	3.655332838012961
10532.86fa2207.97bf.4dda.bfc2.25e1db76807e	6.120566196150893
10532.89d77704.b4a7.497d.be45.7d0612828999	2.545103628020719
10532.8d596033.bccb.44dc.aa21.946a4e4c5b1a	3.30083360331153
10532.8d9faaed.d3f1.4d05.9f4f.38b916fb5bb8	3.402249314588629
10532.91023f5b.9d29.404a.a1d8.211f4942b9f7	3.8333324205378423
10532.932158d8.e379.4cc8.8a38.b3755c70cff9	6.034320899148744
10532.97e0e94b.e50b.402f.9d18.8277c8d81d9a	4.981745324607529
10532.99b59c4d.8f92.4b4f.a1e8.feac7a698f02	5.29771566806054
10532.9bcd5895.a696.438c.a053.d29869a6ff8e	5.114881230335655
10532.9e0e46c9.56fb.486e.953e.6feb8b2593a9	5.6146384649229075
10532.9e5630dc.0ab1.4e85.a4e8.24774a6bf46e	5.701280833970823
10532.9e6231cc.081f.4a34.8c8e.87b7d19bc1a7	5.063453004363467
10532.9fa049be.9576.476d.9c8b.bedd0afaa86e	4.539708088112448
10532.9fd07251.eccf.4636.a7e8.e8d33c67b49d	3.3916838022408577
10532.a1f61e5d.8dae.45c2.8de6.4303a428d157	3.2282426068180143
10532.a2c34b14.f857.4bd0.8109.ce29f161c2f2	6.664090674795955
10532.a49ccc5c.ee44.4b43.9ece.4eeb0e0352b8	5.277963068471946
10532.a65b37e7.3012.4d06.8fe6.5e8ce086addf	3.4616898448693725
10532.a65d1477.120e.4f3c.a816.f82f6582bc50	3.6334139816454116
10532.a79fb6f2.c8ca.4ebb.a0da.79f1ffbdce03	6.15077102889399
10532.aa5d5079.35bb.4c38.95e4.be3d2ae2f1d4	4.83239523865409
10532.aae3af7b.134e.4b0f.b833.5fc674f072e7	3.3212497757437593
10532.ac4982b0.512b.4c95.b113.c4eef4ff9ccb	2.790848951322977
10532.ad0865f4.0719.4c22.9a3e.1d5ec2f9ad4c	4.267718357956686
10532.aef9e193.1f8c.429e.bfdf.38bb59235e7d	2.0314017981287424
10532.b2b082dc.0d6f.4f1d.bb98.2887c0349fd3	6.080202023072834
10532.b2bca08c.48c6.43b0.824a.003ca3a07119	5.804588147435424
10532.b35cd9d4.2301.4c7e.bfb9.f4c329d492e0	5.245588967800069
10532.b4a127dc.cbb4.4f2a.972b.bcb6d53777a8	4.486484306520771
10532.b4d2214f.e203.42be.accd.0c0793aa95f2	3.618584882516099
10532.b50cbaeb.8cbe.410d.b7fa.9fca6702c533	4.331793502477564
10532.bf33f337.90ba.4242.b35f.b1cc0b9a1ead	4.6243736860056375
10532.bfd4d640.7817.49c8.ac35.a7a91b49e21b	3.814584919095826
10532.c2072c98.e9a0.4af2.8cc1.c03be62710d8	5.71063164819078
10532.c287751e.0263.4fda.8aa2.3b717855e2ee	4.3807236543290236
10532.c2e216e3.51c4.4894.8352.48d0fef7efc7	1.386448342695387
10532.c34ddc28.a67b.4478.b42d.7be7542bb228	2.480275376794725
10532.c3ac12ed.e37d.4759.9a2c.9b71d45d9ea6	4.831716364079025
10532.cdf7a3e6.75b1.4370.8d53.d8ac4596a0ca	3.8077196015190626
10532.ce5c847c.452d.46fc.96d9.ba2ff164a5ab	4.330958012862927
10532.cf793ef1.e300.4ea8.9039.60e647436b4d	6.064838548486945
10532.cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	6.035210800648573
10532.cfe0d2d7.c78b.4092.b923.3322b4312c6d	5.675587771794063
10532.d056b75a.5ff8.4db3.9991.4cc8566d7528	5.268594086515972
10532.d08dfd2b.1f98.47da.b9ee.fc7c8125b3a3	6.036045554958344
10532.d43b37cd.6e23.4ccb.8d1a.a05be77c1288	4.990357129819195
10532.d592b0a9.ad8d.42fe.a641.b72316502f12	5.710932343876903
